aduki bean,damp,heart,small intestine,spleen,,,,,,
agar,large intestine,liver,lung,,,,,,,
alfalfa,cooling,damp,large intestine,,,,,,,
alfalfa sprouts,spleen,stomach,,,,,,,,
algae,bladder,gall bladder,heart,large intestine,liver,lung,small intestine,spleen,stomach,
alligator,cooling,,,,,,,,,
almonds,large intestine,lung,phlegm,spleen,,,,,,
amaranth,bladder,cooling,large intestine,liver,lung,,,,,
amasake,lung,,,,,,,,,
american ginseng,heart,lung,stomach,,,,,,,
anchovy,spleen,stomach,,,,,,,,
aniseed,heart,liver,lung,spleen,stomach,,,,,
apple,heart,large intestine,lung,neutral,phlegm,spleen,stomach,yin,,
apricot seed,stagnation,,,,,,,,,
apricots,blood,large intestine,lung,stomach,warming,,,,,
artichoke,gall bladder,liver,,,,,,,,
asparagus,lung,neutral,spleen,yin,,,,,,
avocado,large intestine,liver,lung,spleen,,,,,,
bamboo shoot,cooling,large intestine,lung,stomach,,,,,,
banana,cooling,large intestine,lung,spleen,stomach,,,,,
barley,bladder,cooling,large intestine,spleen,stomach,yin,,,,
barley sprouts,cooling,damp,gall bladder,,,,,,,
basil,large intestine,lung,spleen,yang,stomach,warming,,,,
bee pollen,bladder,gall bladder,heart,large intestine,liver,lung,small intestine,spleen,stomach,
beef,blood,large intestine,liver,neutral,qi,spleen,stomach,,,
beef kidney,warming,,,,,,,,,
beef liver,neutral,,,,,,,,,
beet pulp,neutral,,,,,,,,,
beets,heart,large intestine,liver,,,,,,,
bell pepper,stomach,,,,,,,,,
bilberry,lung,spleen,stomach,,,,,,,
bitter melon,cooling,,,,,,,,,
bitter orange flower,calm,,,,,,,,,
black bean,neutral,yin,,,,,,,,
black chicken,neutral,,,,,,,,,
black currant,liver,,,,,,,,,
black pepper,heart,large intestine,stomach,,,,,,,
black sesame,neutral,yin,,,,,,,,
black soybean,large intestine,,,,,,,,,
blackberry,liver,warming,,,,,,,,
blueberry,lung,spleen,stomach,,,,,,,
bok choy,large intestine,,,,,,,,,
broad beans,neutral,spleen,stomach,,,,,,,
broccoli,bladder,cooling,liver,spleen,,,,,,
brown rice,cooling,,,,,,,,,
brown sugar,liver,lung,spleen,stomach,warming,,,,,
brussel sprouts,large intestine,,,,,,,,,
buckwheat,cooling,large intestine,spleen,,,,,,,
butter,spleen,stomach,,,,,,,,
button mushroom,large intestine,lung,stomach,,,,,,,
cabbage,large intestine,lung,neutral,stomach,,,,,,
calabash,neutral,,,,,,,,,
caraway,bladder,stomach,,,,,,,,
cardamom,large intestine,lung,spleen,stomach,,,,,,
carp,liver,neutral,qi,spleen,stomach,,,,,
carrot,blood,liver,lung,neutral,spleen,,,,,
cashew,lung,,,,,,,,,
catfish,neutral,,,,,,,,,
cauliflower,large intestine,neutral,small intestine,spleen,stomach,,,,,
cayenne,heart,lung,spleen,stomach,,,,,,
celery,bladder,calm,liver,stomach,,,,,,
chamomile,calm,large intestine,lung,spleen,,,,,,
cheese,liver,lung,spleen,yin,,,,,,
cherry,heart,lung,qi,stomach,warming,,,,,
chestnut,qi,stagnation,spleen,stomach,warming,,,,,
chicken,qi,spleen,stomach,warming,,,,,,
chicken egg,liver,neutral,spleen,blood,heart,lung,stomach,yin,,
chicken egg white,cooling,,,,,,,,,
chicken egg yolk,warming,,,,,,,,,
chicken liver,warming,,,,,,,,,
chickpeas,heart,stomach,,,,,,,,
chicory,gall bladder,liver,,,,,,,,
chilli,heart,lung,stagnation,spleen,stomach,,,,,
chinese cabbage,large intestine,lung,neutral,stomach,,,,,,
chinese ginseng,lung,spleen,,,,,,,,
chive,liver,stagnation,yang,stomach,warming,,,,,
chrysanthemum,cooling,damp,lung,,,,,,,
cinnamon,heart,lung,spleen,yang,,,,,,
citrus,warming,,,,,,,,,
clam,cooling,phlegm,stomach,yin,,,,,,
clove,stagnation,spleen,yang,stomach,warming,,,,,
coconut,heart,large intestine,spleen,stomach,warming,,,,,
coconut milk,heart,,,,,,,,,
cod conch,cooling,,,,,,,,,
coriander,lung,stagnation,stomach,warming,,,,,,
coriander leaf,spleen,stomach,,,,,,,,
corn,damp,large intestine,neutral,qi,stomach,,,,,
cows milk,heart,lung,neutral,stomach,,,,,,
crab,cooling,liver,stagnation,stomach,,,,,,
crabapple,heart,liver,lung,,,,,,,
cranberry,bladder,cooling,large intestine,,,,,,,
cucumber,bladder,cooling,large intestine,spleen,stomach,,,,,
cumin,liver,spleen,,,,,,,,
cuttlefish,neutral,,,,,,,,,
daikon,lung,,,,,,,,,
dandelion,cooling,gall bladder,liver,spleen,,,,,,
dandelion root,spleen,,,,,,,,,
dandelion tea,gall bladder,,,,,,,,,
dangui,liver,spleen,,,,,,,,
dates,blood,liver,lung,neutral,spleen,,,,,
dill seed,stagnation,spleen,yang,stomach,,,,,,
dolphin,cooling,,,,,,,,,
